family_id,method,reference,metric,n_patients,n_records,n_windows,window_policy,effect_definition,higher_is_better,method_mean,reference_mean,mean,sd,ci95_low,ci95_high,p_value_raw,p_value_holm,cohen_dz,effect_size_status,method_wins,reference_wins,ties,interpretation
frozen_repaired_physiology_120_exploratory,pretrained_hard_lag,pretrained_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24285863853571268,0.25240394650397496,-0.00954530796826235,0.027071975354455692,-0.01758469228615464,-0.001505923650370061,0.02102679207575006,1.0,-0.3525900065763512,defined,28,18,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_corr,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24225892288185474,0.23827610946879543,0.003982813413059256,0.021441638700406464,-0.0023845673067074327,0.010350194132825945,0.21422654547938624,1.0,0.18575135364927844,defined,26,20,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24225892288185474,0.25240394650397496,-0.010145023622120287,0.029558636927158752,-0.01892285527493171,-0.0013671919693088608,0.02447728105086301,1.0,-0.34321689620264406,defined,28,18,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_hard_lag,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24225892288185474,0.24285863853571268,-0.0005997156538579344,0.013075548009208541,-0.004482674109483805,0.0032832428017679355,0.7571804749181856,1.0,-0.045865431677171824,defined,26,20,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_mse,random_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.20007728962388868,0.19420576217871893,0.005871527445169756,0.22574216016430276,-0.06116561921850464,0.07290867410884415,0.8607652532808855,1.0,0.02600988420105602,defined,28,18,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,matched_1d_mse,random_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.19342796433734744,0.19420576217871893,-0.0007777978413715452,0.16636182378009767,-0.050181161270983696,0.048625565588240605,0.9748437966423844,1.0,-0.004675338510352369,defined,22,24,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_mse,matched_1d_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.20007728962388868,0.19342796433734744,0.006649325286541312,0.25611603940752675,-0.0694077501139306,0.08270640068701324,0.86101804528924,1.0,0.02596215880084354,defined,23,23,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_corr,pretrained_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.26638783666741983,0.20007728962388868,0.06631054704353115,0.15753469232714146,0.019528518084186618,0.11309257600287567,0.006489475182312003,0.7268212204189444,0.420926629328279,defined,30,16,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_spectral,pretrained_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.23892996701732933,0.20007728962388868,0.03885267739344058,0.18218832144003838,-0.015250575698029768,0.09295593048491094,0.15500332484562718,1.0,0.21325558678154752,defined,26,20,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_corr_spectral,pretrained_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.2729316237721915,0.20007728962388868,0.07285433414830282,0.21414565867576563,0.009260923340202606,0.13644774495640305,0.02568741249082839,1.0,0.34020925102483796,defined,32,14,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
