method,metric,n_patients,n_records,n_windows,reference_valid_windows,coverage,window_policy,mean,sd,ci95_low,ci95_high,evidence_role,inference_caveat
pretrained_hard_lag,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5684456100239262,0.20515835829101575,0.5075210979876127,0.6293701220602398,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_soft_lag,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.0905072788113194,0.05063127167920682,0.07547164708503071,0.10554291053760809,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_soft_lag,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.24225892288185474,0.080693721157725,0.21829584564297808,0.26622200012073144,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_soft_lag,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.25334488410088163,0.3361689594135074,0.15351502591410882,0.35317474228765444,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_soft_lag,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5793670845179747,0.20863203754439463,0.5174110170761408,0.6413231519598086,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth1,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.09426793351445278,0.04559655860334143,0.08072742701701216,0.10780844001189341,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth1,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.2504199567997259,0.07307959449579388,0.22871799607262602,0.27212191752682574,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth1,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.2001841370438315,0.3360665389135167,0.10038469399118446,0.2999835800964785,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth1,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5091372449324049,0.20672463354362544,0.4477476065601492,0.5705268833046605,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth2_diagonal,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.09488273363990714,0.04745810470675089,0.08078941618741663,0.10897605109239765,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth2_diagonal,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.25058336848105955,0.07435748909602072,0.2285019199007657,0.2726648170613534,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth2_diagonal,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.20256586114206487,0.3300596352287419,0.10455024829206021,0.3005814739920695,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth2_diagonal,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5227920911674453,0.21490388150713888,0.4589735159721809,0.5866106663627096,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_diagonal,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.0912192909700711,0.046940308763596485,0.07727973993213884,0.10515884200800336,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_diagonal,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.24494351329967992,0.07527817586647571,0.22258865449766507,0.26729837210169477,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_diagonal,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.22147434317944495,0.33803622995777044,0.12108997408852638,0.3218587122703635,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_diagonal,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5139365948412113,0.19519881678506404,0.45596970155077804,0.5719034881316447,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_lowrank,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.0947970518930431,0.05281115953472992,0.07911407338060378,0.11048003040548243,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_lowrank,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.24934192596707555,0.07986344403595058,0.22562541059835806,0.27305844133579305,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_lowrank,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.17995498253294998,0.35542170216972646,0.07440776548468989,0.28550219958121004,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
depth3_lowrank,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5038533814342323,0.19533352740741428,0.4458464840269735,0.5618602788414911,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
